cost,emission,discomfort,dummy,electrolyzer elecGrid,heatpump elecGrid,rooftop pv elecGrid,heatpump_ac elecGrid,heatpump_ac heatGrid,heatpump heatGrid,fuel cell heatGrid,fuel cell storageGrid,electrolyzer storageGrid,battery storage invest[MW(h)],buffer tank invest[MW(h)],electrolyzer invest[MW(h)],fuel cell invest[MW(h)],h2 storage invest[MW(h)],heatpump invest[MW(h)],heatpump_ac invest[MW(h)],rooftop pv invest[MW(h)],elec import elecGrid,elec import fuelGrid,clo_lvl
0.005274,4.117424376,71200.0,0.0,,-13.9772889323184,9.86437934945243,-0.270408352174139,-0.540816704348278,22.3442281709851,,,,0.0079805003181915,0.0815587335448131,,,,0.0066308836321354,0.0030316956964992,0.0011802117341393,10.091726411161,-10.091726411161,light clothing
0.013031,1.399602832,58720.0,0.0,,-15.0304403742588,18.9016846188098,-1.39111961809864,-2.78223923619727,17.1488388882712,,,,0.0133559517200885,0.130415889499172,,,,0.0152657384023979,0.0085258124958808,0.0087073950395909,3.43039909692863,-3.43039909692863,light clothing
0.006317,2.666269499,60280.0,0.0,,-14.5015528484899,14.6924546200768,-0.805367734608401,-1.6107354692168,18.3734204660531,,,,0.0130940473041848,0.119355618082751,,,,0.0156783898213509,0.0052307195728244,0.0023141963823493,6.5349742611444,-6.5349742611444,light clothing
0.00509,4.111875115,93333.33,0.0,,-13.3581822221188,9.12823518394788,-0.164456227736411,-0.328912455472823,21.6324576649211,,,,0.0073471740127411,0.0856728866513769,,,,0.0069821636946623,0.0025044400104272,0.001033938103483,10.078125281153,-10.078125281153,light clothing
0.008288,2.369442549,47800.0,0.0,,-15.1531048187436,16.5831996041888,-1.09106841720441,-2.18213683440882,19.8547134361751,,,,0.0140007705067306,0.145738525639482,,,,0.0118202371981075,0.0085266310190761,0.0042681137160865,5.80745722864866,-5.80745722864866,light clothing
0.016234,1.007602832,54040.0,0.0,-0.0547680917578821,-15.5715907766869,22.3077217340101,-2.07754069453986,-4.15508138907973,16.380349040814,0.0159628503258525,-0.0387738367246352,0.0388853451480957,0.0222129839698681,0.142211436878773,8.0187542837308e-06,2.75491399138068e-05,0.038749177152575,0.0201759269642549,0.0088351622282199,0.011046,2.4696147832,-2.4696147832,light clothing
0.005652,4.119453596,46240.0,0.0,,-14.772974747562,10.834972808634,-0.422179654388399,-0.844359308776799,22.568268958194,,,,0.0088806945746706,0.0732251830801374,,,,0.0080012005531533,0.0049086546786497,0.0013960418451175,10.096699990399,-10.096699990399,light clothing
0.015248,1.063602832,60280.0,0.0,,-15.1998705788611,20.9407661526895,-1.73118005290768,-3.46236010581535,16.030037580259,4.76908588526587e-06,,,0.0189948623538908,0.12980625039212,,,,0.0187092101383553,0.0085256602485588,0.0104165484552948,2.60686968516407,-2.60686968516407,light clothing
0.006199,2.666269499,66520.0,0.0,,-14.3445160110673,14.4555035497929,-0.737415695095197,-1.47483139019039,18.3390599103568,,,,0.0125227823194926,0.113191406620804,,,,0.0151612397083158,0.0045701130804641,0.0022669176922537,6.5349742611466,-6.5349742611466,light clothing
,0.0,43580.0,0.0,,,,,,,,,,,,,,,,,,,,light clothing
0.011867,1.497169594,64960.0,0.0,,-14.9067119104398,18.4619899469488,-1.32191407419312,-2.64382814838624,18.6551217643879,,,,0.013484662795364,0.144807619651705,,,,0.0118717139387065,0.0085256321843397,0.007821278374823,3.66953331972969,-3.66953331972969,light clothing
,0.0,43580.0,0.0,,,,,,,,,,,,,,,,,,,,light clothing
0.013353,1.499602832,49360.0,0.0,,-15.3908471650986,19.3709772385231,-1.40786309617499,-2.81572619234998,16.9608742335951,,,,0.0133367484619414,0.146498766890515,,,,0.0165854834264564,0.0085265010380447,0.008839600656128,3.67549713614436,-3.67549713614436,light clothing
0.016334,0.783602832,74320.0,0.0,-0.0704649328844832,-15.2311374005359,22.8465176632783,-2.38930415788953,-4.77860831577905,15.5427704008556,0.0208103552077062,-0.0498795906080669,0.0500301023479829,0.0262860162803929,0.179140034060148,1.03472735513191e-05,3.71852533909408e-05,0.05,0.0211671665579773,0.0088340547196848,0.011046,1.92059517536001,-1.92059517536001,light clothing
0.011778,1.790520634,46240.0,0.0,,-15.3221646672755,18.3281942149094,-1.10986376495961,-2.21972752991921,19.549317622297,,,,0.0135236431590185,0.162828200212596,,,,0.0118099457797302,0.008526528826465,0.007552916466114,4.3885309666852,-4.3885309666852,light clothing
0.009241,1.781824112,93333.33,0.0,,-13.6601136394551,15.4883058586446,-0.076430585018034,-0.152861170036068,19.3608613850766,,,,0.0138043723101995,0.143021826280904,,,,0.0088949765200634,0.000240938732469,0.0056202251369876,4.36721596156361,-4.36721596156361,light clothing
0.010018,1.788745875,66520.0,0.0,,-14.6979822306158,17.5795163518876,-1.23824150811724,-2.47648301623448,19.8703720193712,,,,0.0137253462899575,0.141073617840904,,,,0.0102793159789751,0.0085254424972563,0.0061642830071957,4.38418106659879,-4.38418106659879,light clothing
0.005568,3.249602832,79000.0,0.0,,-13.8446690051625,12.1640957826259,-0.525231469204102,-1.0504629384082,19.7034374760085,,,,0.0095322864012057,0.08778318055502,,,,0.0100404619370574,0.0043846595368211,0.0017409494122571,7.96471282236951,-7.96471282236951,light clothing
0.017097,1.063602832,47800.0,0.0,-0.0704673332616558,-16.4146023812673,25.8605807794411,-3.01809059789117,-6.03618119578233,17.7403130317525,0.0210267175572517,-0.0498727735368952,0.0500318066157763,0.0337092454021871,0.2499222593396899,1.03476260296118e-05,3.92905253704533e-05,0.05,0.0245462878891447,0.0088352722996299,0.011046,2.60686968516393,-2.60686968516393,light clothing
0.008129,2.080377082,71200.0,0.0,,-14.4522912800436,16.4667118236137,-1.09156313504776,-2.18312627009552,18.6479823495028,,,,0.0139931849910817,0.147000005044045,,,,0.0117133938059169,0.008525397980739,0.004320336508981,5.09896343522386,-5.09896343522386,light clothing
0.01292,1.343602832,64960.0,0.0,,-14.9404797550037,19.0420536509954,-1.46815231606781,-2.93630463213563,16.7533899979359,,,,0.0133621852278568,0.131205650569537,,,,0.0149429943370855,0.0085255682184159,0.0086644802002762,3.29314419496763,-3.29314419496763,light clothing
0.013944,1.231602832,61840.0,0.0,,-15.0749296053361,19.7851954730824,-1.62934222262938,-3.25868444525875,16.3020456027228,,,,0.0154040780396371,0.130692573908052,,,,0.0168356466810049,0.0085256750769767,0.0094310009212616,3.01863439104568,-3.01863439104568,light clothing
