cost,emission,discomfort,dummy,elec import elecGrid,rooftop pv elecGrid,elec import fuelGrid,heatpump heatGrid,heatpump_ac heatGrid,electrolyzer storageGrid,fuel cell storageGrid,battery storage invest[MW(h)],buffer tank invest[MW(h)],electrolyzer invest[MW(h)],fuel cell invest[MW(h)],h2 storage invest[MW(h)],heatpump invest[MW(h)],heatpump_ac invest[MW(h)],rooftop pv invest[MW(h)],gas boiler fuelGrid,gas boiler heatGrid,gas boiler invest[MW(h)],clo_lvl
0.004311,6.407120489,10.32,0.0,1.27086656380278,8.30106926956842,-1.27086656380278,-13.86568701185396,-0.0801554417499381,,,0.0097740731130526,0.0535962798825438,,,,0.0048065411403672,0.0005923094621492,0.0088321875819233,-32.3905771770669,-29.15151945936042,0.0102081512286852,light_clothing
0.004726,5.054781313,7.24,0.0,3.45212732430696,10.3260304332037,-3.45212732430696,-27.6689164065887,-0.649003584316765,,,0.0090510893221631,0.0770638612576357,,,,0.0060405517392445,0.0039245870844868,0.0123931386055554,-20.0567291771198,-18.05105625939916,0.0105338517816081,light_clothing
0.005337,3.565923836,8.92,0.0,5.98006897873599,12.1321345894553,-5.98006897873599,-39.4409299047271,-0.915412809670032,,,0.0095404690499363,0.0698008063171345,,,,0.0096162436466829,0.0043849542594518,0.0171682866665785,-6.19392570471189,-5.574533134240668,0.0040472993465164,light_clothing
0.004645,5.602026841,6.68,0.0,1.96158155415839,10.138897965918,-1.96158155415839,-22.23931443808191,-0.560725552055019,,,0.0092543622055246,0.075586135815331,,,,0.0059497460371551,0.0032397971483475,0.012251166066302,-26.4119998182323,-23.770799836395387,0.0105572093315651,light_clothing
0.005139,4.513593945,6.12,0.0,5.24214753068759,11.0637568881218,-5.24214753068759,-35.0002537615595,-0.816897822538833,,,0.0096234864601377,0.0613892633191857,,,,0.0069122146933826,0.0049086202401129,0.0147211061780819,-13.0626939060245,-11.75642451542434,0.0075271946216298,light_clothing
0.004236,4.51693412,16.17,0.0,3.05536780528631,9.34995328370105,-3.05536780528631,-23.5234786552431,-0.104131152274444,,,0.008851749802756,0.0522327875569226,,,,0.0050903937523201,0.000512320172386,0.0113580334033803,-17.9886911730564,-16.18982205571435,0.0095796825839707,light_clothing
0.004715,4.072992371,11.44,0.0,4.21258522940892,10.9660284244821,-4.21258522940892,-31.4429094834942,-0.76774558522677,,,0.0089551510231565,0.0538693934053614,,,,0.0065798538191828,0.0039249472720402,0.0143793660404734,-12.9497117553788,-11.6547405798235,0.0072722340848963,light_clothing
0.005832,3.73674051,5.28,0.0,7.66004183408077,12.5750555968831,-7.66004183407796,-45.2766480161256,-1.27556300043033,,,0.0095233269533569,0.0876353569879702,,,,0.0111490075737291,0.0057680709671488,0.0176736,-3.36327525839682,-3.026947732558116,0.0031488682800148,light_clothing
0.004288,4.787767455,13.67,0.0,1.71232100648091,10.1110985101714,-1.71232100648378,-21.20541683111739,-0.49810541471067,,,0.0090633347689598,0.0701741867547098,,,,0.0057528383389707,0.0025725652387477,0.0122805057794411,-22.4925219161514,-20.24326972449302,0.0095254463143857,light_clothing
0.005723,3.567125789,6.4,0.0,7.44461647313815,12.5066959055571,-7.44461647313817,-44.6336654561038,-1.14789036799531,,,0.0095233269533569,0.084688389594473,,,,0.0111257510069118,0.0049086113852441,0.0176736,-2.9137638525488,-2.622387467291812,0.0027250188263383,light_clothing
0.004625,4.242026007,11.44,0.0,3.64377490150153,10.6820814218032,-3.64377490150153,-29.35272631943129,-0.680607964180408,,,0.0089108396913972,0.0546141988922786,,,,0.006461362437946,0.0032399335644849,0.0139040199366004,-15.1560277642976,-13.64042498781967,0.0083353401374375,light_clothing
0.004327,6.407358239,10.04,0.0,1.31363161798427,8.30155285109023,-1.31363161798427,-14.18104359243763,-0.0787288214194902,,,0.0094808189913984,0.0551912940853375,,,,0.0049853944964132,0.0006064567503849,0.0089047291895368,-32.2959105531622,-29.066319497846088,0.0102174763794939,light_clothing
0.005374,3.735574814,7.8,0.0,6.14329384213202,11.9331087867145,-6.14329384213202,-39.6790070148834,-0.84904534176331,,,0.0095521930995369,0.0703036806091199,,,,0.0093771232543586,0.0045701063231168,0.0168226860828073,-6.76078617440671,-6.084707556939764,0.0044312623211274,light_clothing
0.005404,2.719602832,14.5,0.0,6.66569321455537,12.587808863319,-6.66569321457569,-42.165067152143,-0.890428965658957,,,0.0097356226034656,0.102711056787757,,,,0.0132977723744507,0.0028920934507453,0.0176736,,,,light_clothing
0.004152,6.137889457,13.67,0.0,1.30208070585664,8.03272190481589,-1.30208070585664,-13.11099625991928,-0.0587600568673498,,,0.0093971248381571,0.047458170278019,,,,0.0045746032029201,0.0004544186480405,0.008593127687526,-30.8396068711055,-27.755646184003123,0.0095704294514048,light_clothing
0.0056,3.736267464,6.4,0.0,6.79591384432927,12.2045550316718,-6.79591384432927,-42.290370501767896,-1.05670259332095,,,0.0095347204665955,0.0787809587563105,,,,0.010389367601853,0.0049086113323734,0.017337742940316,-5.29997038469797,-4.769973346228366,0.0036692707618419,light_clothing
0.004996,3.39513026,12.83,0.0,5.09378610098743,11.7532077235685,-5.09378610098743,-35.957642606724804,-0.750969098561311,,,0.0095597828104194,0.0618039904843968,,,,0.0084023805889549,0.0034858323452131,0.0165989572006366,-7.24348477024768,-6.519136293212169,0.0049203202487476,light_clothing
0.00523,4.074065776,7.24,0.0,5.72185107958621,11.7829248283079,-5.72185107958621,-37.4760132135409,-0.860995681921346,,,0.0095908436267217,0.0640396320642587,,,,0.0080858893990594,0.0045700286086587,0.0156833489754784,-9.56848479585479,-8.6116363163476,0.0060913698376416,light_clothing
0.004874,5.324598429,5.28,0.0,3.77687790724805,10.3888352029106,-3.77687790724805,-28.6334008408682,-0.677203242160225,,,0.0090611103563434,0.0773757117810715,,,,0.0060854128821025,0.0043833299026049,0.0123009657825421,-20.8120585407459,-18.73085268666931,0.0110531775164,light_clothing
0.004275,6.136394258,11.16,0.0,1.34013299638468,8.41892215697443,-1.34013299638468,-14.881585844187189,-0.0899231769879725,,,0.0095564864150676,0.0591814958601308,,,,0.005002128905229,0.0006370245591904,0.0091757458482156,-30.7459845718106,-27.67138611462991,0.0099470922626546,light_clothing
0.004918,3.394627725,13.67,0.0,4.72144083147444,11.7229196388627,-4.72144083147444,-34.6412310649362,-0.684932017789541,,,0.009563191371938,0.0599515874033755,,,,0.0082466355550944,0.0031636680704597,0.0164984799004918,-8.07634689614432,-7.268712206523154,0.005473164561372,light_clothing
0.005189,4.073945536,7.52,0.0,5.57804840340955,11.6707124150979,-5.57804840340955,-37.0541624420243,-0.952797470936749,,,0.0095929943978927,0.063121043881062,,,,0.007917598765608,0.0043840216103899,0.0156199487172424,-9.89054888709021,-8.901493998356903,0.0062236471662457,light_clothing
0.004962,3.225910145,17.83,0.0,5.28354870913646,10.9580542874323,-5.28354870913646,-34.1583200402057,,,,0.0095676095457254,0.0692819734904353,,,,0.0091874715011074,,0.016368241331725,-5.88681117310213,-5.298130055750861,0.0040623618595163,light_clothing
0.004891,4.513145379,7.8,0.0,4.57015703994903,10.9928844642919,-4.57015703994903,-32.3934332596169,-0.870537819578719,,,0.0088800446028407,0.0543432523365017,,,,0.0066669609041783,0.0043843671118598,0.0139663968499466,-14.5683240199968,-13.11149161799846,0.0080206660201301,light_clothing
0.005954,2.549708124,15.33,0.0,6.24928461864576,13.2877340448441,-6.24928461869216,-41.5205532630945,-0.373944963333339,0.239453173668292,-0.212502592728905,0.0141879315182907,0.147056642738526,8.085782572095441e-05,0.0001032283132549,0.23254896657025,0.0165899978279516,0.0008423590776285,0.0176736,,,,light_clothing
0.004619,5.601715343,6.96,0.0,1.8066933973076,10.2813023120595,-1.8066933973076,-21.72556943153011,-0.559108303968968,,,0.0092264857254389,0.0754634215074322,,,,0.0059440141591981,0.0030893980642502,0.0122823427052946,-26.7578901909974,-24.082101171888528,0.0104508572966857,light_clothing
0.004948,3.73380877,11.16,0.0,4.82297161396383,11.7036255499114,-4.82297161396383,-34.5899865885479,-0.802681011009483,,,0.0095860454892743,0.0544261876851213,,,,0.0076403629501598,0.0039251072493834,0.0158247880822149,-9.71417135232525,-8.742754217092715,0.0063741047270464,light_clothing
0.005133,4.783989694,5.28,0.0,5.33975904545939,10.9306009820614,-5.33975904545939,-34.626909244163,-0.860169547582587,,,0.0093216961588557,0.0595057234930453,,,,0.0063031943633412,0.0049086580547476,0.0141165888972541,-14.3309571173211,-12.8978614055885,0.0080085853360666,light_clothing
0.004709,5.329402091,6.68,0.0,2.87223977550061,10.396853372522,-2.87223977550061,-25.487004482881,-0.613709373159787,,,0.0090638016955518,0.0761926816887599,,,,0.0060537415684736,0.003833310316653,0.0122762110189057,-22.8686923151652,-20.58182308363677,0.0105515058172717,light_clothing
0.004268,5.596494953,12.0,0.0,1.23017499589155,9.1249922736881,-1.23017499589156,-16.996471238419048,-0.128724466737147,,,0.0091835231173066,0.0664535993025912,,,,0.0053834337063281,0.0008737426225175,0.0107204856941847,-28.0230118524823,-25.2207106672338,0.0096330830650286,light_clothing
0.004008,6.141934172,17.0,0.0,1.35131542384599,7.30963957598193,-1.35131542384599,-11.04380595716211,-0.0223081313337404,,,0.0092154943121942,0.0349346762584222,,,,0.0037997412001645,0.0001729793246777,0.0078324126104257,-30.7513612732554,-27.67622514592996,0.0096509584648744,light_clothing
0.004479,5.053204582,10.04,0.0,2.13368241079429,10.2041576956454,-2.13368241079429,-22.95898304246422,-0.546446543100547,,,0.0090522605070352,0.0741958435534443,,,,0.005923062587211,0.0028914721680552,0.0123823661229961,-23.0069425674819,-20.70624831074903,0.0097890529974037,light_clothing
0.004847,3.394846084,17.0,0.0,4.89684243039873,10.7087987290902,-4.89684243039873,-32.9188710458395,,,,0.009589401334016,0.0632761938032381,,,,0.0084109177229247,,0.0157258647629458,-7.68390743915022,-6.915516695182943,0.005232945551921,light_clothing
0.004856,4.512921052,8.08,0.0,4.36286483876271,10.9361282223899,-4.36286483876271,-31.6928337355976,-0.812080597844283,,,0.0088829586844676,0.0543415988466697,,,,0.0066590257676804,0.0043844795391473,0.0139395933159795,-15.032300315347,-13.5290702837873,0.0082674510468841,light_clothing
0.004968,4.073233885,9.2,0.0,4.72711046753372,11.4316518748437,-4.72711046753372,-33.9204973127018,-0.856106062901157,,,0.0096040123830748,0.0516074635065971,,,,0.0071729510985325,0.0043846221454955,0.0152951614431667,-11.7963301113206,-10.616697100195388,0.0070065418648152,light_clothing
0.004232,6.136576101,12.0,0.0,1.34074369713301,8.28249663243163,-1.34074369713301,-14.32154863783309,-0.0747010763717224,,,0.0094767116389903,0.0537527326241906,,,,0.0048707130280599,0.0005679874094271,0.0089686019706669,-30.7456142587683,-27.67105283288909,0.0097470449605834,light_clothing
0.005503,3.059602832,10.6,0.0,7.49902654790904,12.5723960223091,-7.49902654790903,-44.3725935803958,-1.05905617564254,,,0.0095233269533569,0.0977443863419248,,,,0.0106933735265779,0.0043843248327318,0.0176736,,,,light_clothing
0.005946,2.549706527,17.83,0.0,6.24928070227016,12.6721197278016,-6.24928070231658,-39.5753798138441,,0.235819331241004,-0.209277741182625,0.0142068233603164,0.147064952512495,7.96307607663255e-05,0.0001016617630244,0.22901989953723,0.0165914818960709,,0.0176736,,,,light_clothing
0.004524,5.600696149,8.08,0.0,1.35089537208019,10.2386347105657,-1.35089537208017,-19.934773650102947,-0.547615768334091,,,0.0090677564253068,0.0728153514733496,,,,0.0058883479260639,0.0028770199670149,0.0122398356708911,-27.7751971229555,-24.99767741065017,0.0103920742980463,light_clothing
0.005759,3.399129135,6.96,0.0,8.12410262908387,12.4999099033705,-8.12410262908385,-46.441704058443705,-1.04636112068973,,,0.0095233269533569,0.0979943590080678,,,,0.0111482176872446,0.0049086109662718,0.0176736,-0.464770418947029,-0.4182933770523265,0.0005211184995618,light_clothing
0.004458,5.053278192,10.32,0.0,2.07278370474568,10.1743954162388,-2.07278370474568,-22.646319284297107,-0.54441100105236,,,0.0090577845944512,0.0729488266253572,,,,0.0058797614624878,0.0028913575017587,0.0123315559249126,-23.1440178231475,-20.82961604084844,0.0097080745461758,light_clothing
0.005385,2.889602832,12.83,0.0,7.08235988124237,12.6178889657424,-7.08235988124237,-43.0493474300915,-0.999186763916044,,,0.0095233269533569,0.0994069231840323,,,,0.0108192911878894,0.0043858307834026,0.0176736,,,,light_clothing
0.003975,5.871100788,17.83,0.0,1.32525915212164,7.61737846701762,-1.32525915212164,-11.91715538620062,-0.0332509428159555,,,0.0092354917034389,0.0399965604860063,,,,0.0041236971884169,0.0002558762507093,0.0081720910938848,-29.3201048052031,-26.38809432462243,0.0095544613800433,light_clothing
0.004583,6.408499879,6.12,0.0,1.16307058886414,9.32459059451138,-1.16307058885832,-17.02401475914767,-0.338367453825612,,,0.0097740420206292,0.0801423196415532,,,,0.0060752678678499,0.0025980163354333,0.0102830415700002,-32.6400829432142,-29.376074648882938,0.0107918902636539,light_clothing
